Khách hàng,Sản phẩm,Ngày mua,Giá trị,Xu hướng mua sắm,Số lượng,Độ tin cậy của khách hàng,Khu vực,Thời gian mua sắm,Phương pháp thanh toán,Chiến dịch quảng cáo
KH640,SP002,31/1/2022,309,Tăng,257,Thấp,Khu vực A,Buổi tối,Thấp,CD49
KH641,SP002,26/1/2022,183,Giảm,212,Thấp,Khu vực B,Buổi sáng,Cao,CD7
KH642,SP001,8/1/2022,84,Giảm,92,Cao,Khu vực A,Buổi sáng,Thấp,CD3
KH643,SP003,13/1/2022,65,Giảm,200,Thấp,Khu vực C,Buổi tối,Cao,CD29
KH644,SP002,24/1/2022,142,Giảm,162,Trung bình,Khu vực B,Buổi tối,Cao,CD7
KH645,SP003,11/1/2022,328,Tăng,204,Cao,Khu vực B,Buổi sáng,Thấp,CD18
KH646,SP001,31/1/2022,175,Giảm,39,Cao,Khu vực C,Buổi chiều,Cao,CD4
KH647,SP001,4/1/2022,360,Tăng,143,Thấp,Khu vực B,Buổi chiều,Cao,CD43
KH648,SP005,21/1/2022,312,Tăng,52,Cao,Khu vực B,Buổi chiều,Cao,CD10
KH649,SP002,1/1/2022,321,Tăng,268,Cao,Khu vực C,Buổi chiều,Thấp,CD13
KH650,SP003,21/1/2022,372,Tăng,97,Thấp,Khu vực A,Buổi chiều,Thấp,CD21
KH651,SP003,6/1/2022,68,Giảm,285,Trung bình,Khu vực B,Buổi sáng,Cao,CD27
KH652,SP003,21/1/2022,317,Tăng,147,Cao,Khu vực A,Buổi sáng,Thấp,CD22
KH653,SP001,11/1/2022,159,Giảm,252,Cao,Khu vực A,Buổi sáng,Cao,CD9
KH654,SP005,17/1/2022,118,Giảm,214,Trung bình,Khu vực B,Buổi chiều,Cao,CD11
KH655,SP003,11/1/2022,165,Giảm,109,Cao,Khu vực A,Buổi tối,Cao,CD29
KH656,SP004,8/1/2022,194,Giảm,142,Thấp,Khu vực A,Buổi tối,Thấp,CD33
KH657,SP004,17/1/2022,499,Tăng,189,Cao,Khu vực C,Buổi tối,Thấp,CD28
KH658,SP001,18/1/2022,181,Giảm,131,Thấp,Khu vực C,Buổi tối,Thấp,CD7
KH659,SP002,18/1/2022,282,Tăng,98,Cao,Khu vực A,Buổi tối,Thấp,CD19
KH660,SP001,4/1/2022,238,Tăng,222,Thấp,Khu vực B,Buổi chiều,Thấp,CD26
KH661,SP003,4/1/2022,94,Giảm,134,Thấp,Khu vực B,Buổi chiều,Thấp,CD36
KH662,SP005,15/1/2022,468,Tăng,250,Thấp,Khu vực C,Buổi tối,Thấp,CD28
KH663,SP003,11/1/2022,327,Tăng,154,Thấp,Khu vực B,Buổi chiều,Cao,CD17
KH664,SP001,3/1/2022,120,Giảm,82,Cao,Khu vực A,Buổi chiều,Cao,CD23
KH665,SP003,21/1/2022,392,Tăng,89,Cao,Khu vực C,Buổi sáng,Thấp,CD30
KH666,SP003,17/1/2022,376,Tăng,118,Thấp,Khu vực A,Buổi tối,Thấp,CD48
KH667,SP005,3/1/2022,320,Tăng,259,Trung bình,Khu vực A,Buổi chiều,Thấp,CD31
KH668,SP001,29/1/2022,279,Tăng,212,Thấp,Khu vực A,Buổi tối,Thấp,CD10
KH669,SP003,27/1/2022,374,Tăng,278,Thấp,Khu vực A,Buổi sáng,Cao,CD32
KH670,SP004,28/1/2022,97,Giảm,297,Thấp,Khu vực C,Buổi tối,Thấp,CD21
KH671,SP002,8/1/2022,427,Tăng,284,Trung bình,Khu vực B,Buổi chiều,Cao,CD38
KH672,SP005,26/1/2022,163,Giảm,299,Trung bình,Khu vực A,Buổi tối,Thấp,CD3
KH673,SP002,27/1/2022,383,Tăng,178,Cao,Khu vực C,Buổi tối,Cao,CD9
KH674,SP005,25/1/2022,136,Giảm,264,Trung bình,Khu vực C,Buổi chiều,Cao,CD41
KH675,SP003,23/1/2022,204,Tăng,225,Trung bình,Khu vực C,Buổi chiều,Thấp,CD50
KH676,SP001,25/1/2022,108,Giảm,148,Thấp,Khu vực A,Buổi tối,Cao,CD37
KH677,SP001,1/1/2022,413,Tăng,96,Trung bình,Khu vực C,Buổi sáng,Cao,CD47
KH678,SP004,31/1/2022,349,Tăng,106,Cao,Khu vực C,Buổi tối,Cao,CD38
KH679,SP002,16/1/2022,447,Tăng,152,Thấp,Khu vực B,Buổi chiều,Cao,CD6
KH680,SP001,21/1/2022,413,Tăng,78,Cao,Khu vực A,Buổi chiều,Cao,CD40
KH681,SP003,21/1/2022,131,Giảm,280,Thấp,Khu vực C,Buổi sáng,Thấp,CD33
KH682,SP003,13/1/2022,171,Giảm,153,Trung bình,Khu vực A,Buổi chiều,Thấp,CD14
KH683,SP002,16/1/2022,463,Tăng,149,Thấp,Khu vực B,Buổi tối,Thấp,CD17
KH684,SP001,8/1/2022,90,Giảm,253,Thấp,Khu vực A,Buổi tối,Thấp,CD22
KH685,SP002,5/1/2022,288,Tăng,237,Trung bình,Khu vực B,Buổi tối,Thấp,CD47
KH686,SP002,24/1/2022,447,Tăng,173,Thấp,Khu vực B,Buổi sáng,Cao,CD19
KH687,SP003,7/1/2022,410,Tăng,81,Trung bình,Khu vực C,Buổi sáng,Thấp,CD24
KH688,SP004,11/1/2022,150,Giảm,56,Cao,Khu vực B,Buổi chiều,Thấp,CD44
KH689,SP004,5/1/2022,274,Tăng,185,Thấp,Khu vực C,Buổi tối,Thấp,CD34
KH690,SP003,1/1/2022,264,Tăng,283,Cao,Khu vực B,Buổi sáng,Thấp,CD22
KH691,SP002,31/1/2022,158,Giảm,217,Thấp,Khu vực A,Buổi sáng,Cao,CD12
KH692,SP005,1/1/2022,203,Tăng,238,Trung bình,Khu vực B,Buổi chiều,Thấp,CD46
KH693,SP005,25/1/2022,475,Tăng,77,Trung bình,Khu vực A,Buổi chiều,Thấp,CD8
KH694,SP001,16/1/2022,103,Giảm,137,Trung bình,Khu vực A,Buổi sáng,Cao,CD8
KH695,SP005,28/1/2022,324,Tăng,67,Trung bình,Khu vực B,Buổi tối,Cao,CD26
KH696,SP001,16/1/2022,350,Tăng,122,Thấp,Khu vực C,Buổi tối,Thấp,CD22
KH697,SP001,3/1/2022,322,Tăng,154,Thấp,Khu vực A,Buổi chiều,Thấp,CD5
KH698,SP001,15/1/2022,440,Tăng,249,Trung bình,Khu vực C,Buổi sáng,Thấp,CD43
KH699,SP004,19/1/2022,289,Tăng,171,Thấp,Khu vực C,Buổi sáng,Cao,CD27
KH700,SP003,4/1/2022,64,Giảm,267,Thấp,Khu vực C,Buổi chiều,Cao,CD10
KH701,SP003,19/1/2022,175,Giảm,198,Trung bình,Khu vực A,Buổi chiều,Cao,CD40
KH702,SP005,31/1/2022,304,Tăng,295,Cao,Khu vực C,Buổi sáng,Thấp,CD13
KH703,SP001,31/1/2022,419,Tăng,127,Thấp,Khu vực C,Buổi chiều,Thấp,CD1
KH704,SP001,27/1/2022,190,Giảm,254,Thấp,Khu vực A,Buổi tối,Thấp,CD34
KH705,SP003,23/1/2022,302,Tăng,101,Thấp,Khu vực A,Buổi sáng,Cao,CD44
KH706,SP005,16/1/2022,320,Tăng,218,Cao,Khu vực C,Buổi chiều,Thấp,CD23
KH707,SP005,26/1/2022,101,Giảm,52,Trung bình,Khu vực B,Buổi chiều,Cao,CD20
KH708,SP002,31/1/2022,465,Tăng,241,Thấp,Khu vực C,Buổi tối,Thấp,CD47
KH709,SP004,11/1/2022,496,Tăng,266,Thấp,Khu vực A,Buổi tối,Thấp,CD26
KH710,SP005,17/1/2022,100,Giảm,227,Trung bình,Khu vực C,Buổi chiều,Cao,CD41
KH711,SP005,21/1/2022,186,Giảm,158,Thấp,Khu vực C,Buổi sáng,Thấp,CD29
KH712,SP003,18/1/2022,167,Giảm,263,Thấp,Khu vực C,Buổi chiều,Cao,CD3
KH713,SP004,9/1/2022,137,Giảm,38,Trung bình,Khu vực B,Buổi tối,Cao,CD38
KH714,SP002,11/1/2022,494,Tăng,183,Thấp,Khu vực B,Buổi sáng,Cao,CD12
KH715,SP002,19/1/2022,86,Giảm,93,Cao,Khu vực B,Buổi sáng,Cao,CD23
KH716,SP004,8/1/2022,239,Tăng,41,Cao,Khu vực C,Buổi tối,Cao,CD5
KH717,SP003,11/1/2022,491,Tăng,219,Thấp,Khu vực B,Buổi tối,Thấp,CD8
KH718,SP005,17/1/2022,472,Tăng,247,Trung bình,Khu vực C,Buổi chiều,Cao,CD39
KH719,SP003,29/1/2022,84,Giảm,273,Trung bình,Khu vực A,Buổi tối,Thấp,CD35
KH720,SP004,31/1/2022,176,Giảm,153,Cao,Khu vực B,Buổi tối,Cao,CD45
KH721,SP001,25/1/2022,75,Giảm,227,Thấp,Khu vực B,Buổi tối,Cao,CD49
KH722,SP001,8/1/2022,66,Giảm,128,Cao,Khu vực C,Buổi tối,Thấp,CD9
KH723,SP003,13/1/2022,296,Tăng,145,Cao,Khu vực C,Buổi chiều,Thấp,CD43
KH724,SP001,11/1/2022,204,Tăng,116,Trung bình,Khu vực B,Buổi tối,Cao,CD48
KH725,SP003,24/1/2022,394,Tăng,149,Cao,Khu vực A,Buổi sáng,Cao,CD19
KH726,SP003,11/1/2022,390,Tăng,279,Thấp,Khu vực C,Buổi sáng,Cao,CD11
KH727,SP001,16/1/2022,282,Tăng,152,Cao,Khu vực B,Buổi sáng,Thấp,CD38
KH728,SP004,28/1/2022,303,Tăng,92,Thấp,Khu vực C,Buổi chiều,Thấp,CD42
KH729,SP001,7/1/2022,362,Tăng,278,Trung bình,Khu vực A,Buổi tối,Thấp,CD29
KH730,SP003,4/1/2022,420,Tăng,103,Thấp,Khu vực A,Buổi chiều,Thấp,CD21
KH731,SP005,5/1/2022,96,Giảm,148,Trung bình,Khu vực C,Buổi tối,Thấp,CD49
KH732,SP003,25/1/2022,71,Giảm,60,Thấp,Khu vực C,Buổi chiều,Cao,CD32
KH733,SP002,24/1/2022,201,Tăng,187,Cao,Khu vực B,Buổi tối,Thấp,CD46
KH734,SP004,11/1/2022,56,Giảm,143,Thấp,Khu vực B,Buổi tối,Thấp,CD12
KH735,SP001,8/1/2022,481,Tăng,292,Cao,Khu vực B,Buổi chiều,Thấp,CD10
KH736,SP005,8/1/2022,321,Tăng,53,Cao,Khu vực C,Buổi tối,Cao,CD33
KH737,SP003,13/1/2022,310,Tăng,256,Trung bình,Khu vực B,Buổi sáng,Thấp,CD25
KH738,SP001,16/1/2022,399,Tăng,180,Trung bình,Khu vực B,Buổi chiều,Cao,CD26
KH739,SP003,4/1/2022,488,Tăng,170,Thấp,Khu vực C,Buổi tối,Thấp,CD2
KH740,SP001,3/1/2022,55,Giảm,56,Trung bình,Khu vực C,Buổi tối,Thấp,CD7
KH741,SP005,17/1/2022,224,Tăng,209,Cao,Khu vực C,Buổi tối,Thấp,CD12
KH742,SP001,19/1/2022,495,Tăng,163,Thấp,Khu vực B,Buổi tối,Thấp,CD42
KH743,SP001,13/1/2022,346,Tăng,268,Cao,Khu vực C,Buổi chiều,Cao,CD34
KH744,SP002,8/1/2022,129,Giảm,191,Trung bình,Khu vực B,Buổi sáng,Thấp,CD15
KH745,SP001,31/1/2022,398,Tăng,208,Cao,Khu vực A,Buổi tối,Cao,CD6
KH746,SP002,28/1/2022,83,Giảm,158,Trung bình,Khu vực A,Buổi tối,Thấp,CD1
KH747,SP004,3/1/2022,289,Tăng,243,Thấp,Khu vực C,Buổi sáng,Thấp,CD6
KH748,SP005,16/1/2022,471,Tăng,277,Cao,Khu vực C,Buổi sáng,Cao,CD11
KH749,SP005,6/1/2022,455,Tăng,117,Trung bình,Khu vực C,Buổi sáng,Thấp,CD3
KH750,SP005,21/1/2022,363,Tăng,285,Trung bình,Khu vực A,Buổi tối,Cao,CD37
KH751,SP004,11/1/2022,233,Tăng,214,Thấp,Khu vực A,Buổi chiều,Cao,CD36
KH752,SP002,9/1/2022,241,Tăng,141,Cao,Khu vực B,Buổi sáng,Cao,CD46
KH753,SP002,4/1/2022,302,Tăng,73,Cao,Khu vực B,Buổi sáng,Cao,CD17
KH754,SP005,11/1/2022,443,Tăng,144,Trung bình,Khu vực C,Buổi sáng,Thấp,CD48
KH755,SP004,31/1/2022,224,Tăng,160,Thấp,Khu vực C,Buổi tối,Thấp,CD46
KH756,SP001,29/1/2022,428,Tăng,40,Trung bình,Khu vực C,Buổi sáng,Cao,CD31
KH757,SP005,11/1/2022,97,Giảm,101,Trung bình,Khu vực C,Buổi chiều,Thấp,CD16
KH758,SP004,5/1/2022,304,Tăng,88,Thấp,Khu vực A,Buổi chiều,Cao,CD41
KH759,SP003,29/1/2022,284,Tăng,159,Thấp,Khu vực C,Buổi sáng,Thấp,CD31
KH760,SP005,13/1/2022,208,Tăng,73,Thấp,Khu vực C,Buổi sáng,Cao,CD18
KH761,SP005,1/1/2022,127,Giảm,247,Trung bình,Khu vực A,Buổi chiều,Cao,CD14
KH762,SP001,21/1/2022,474,Tăng,126,Cao,Khu vực C,Buổi chiều,Thấp,CD13
KH763,SP001,19/1/2022,257,Tăng,72,Thấp,Khu vực A,Buổi tối,Cao,CD21
KH764,SP001,14/1/2022,266,Tăng,151,Thấp,Khu vực B,Buổi sáng,Cao,CD5
KH765,SP003,15/1/2022,272,Tăng,192,Trung bình,Khu vực C,Buổi chiều,Thấp,CD2
KH766,SP003,13/1/2022,379,Tăng,284,Thấp,Khu vực B,Buổi sáng,Cao,CD13
KH767,SP002,13/1/2022,453,Tăng,57,Thấp,Khu vực B,Buổi sáng,Thấp,CD49
KH768,SP001,5/1/2022,376,Tăng,65,Trung bình,Khu vực C,Buổi sáng,Thấp,CD35
KH769,SP005,31/1/2022,55,Giảm,56,Thấp,Khu vực A,Buổi sáng,Thấp,CD43
KH770,SP005,25/1/2022,388,Tăng,119,Cao,Khu vực B,Buổi tối,Cao,CD34
KH771,SP003,11/1/2022,442,Tăng,263,Trung bình,Khu vực B,Buổi sáng,Thấp,CD11
KH772,SP003,11/1/2022,59,Giảm,116,Cao,Khu vực A,Buổi tối,Cao,CD14
KH773,SP003,13/1/2022,173,Giảm,264,Trung bình,Khu vực A,Buổi chiều,Thấp,CD43
KH774,SP004,21/1/2022,328,Tăng,80,Trung bình,Khu vực B,Buổi sáng,Cao,CD34
KH775,SP001,31/1/2022,343,Tăng,102,Cao,Khu vực C,Buổi sáng,Cao,CD3
KH776,SP005,21/1/2022,342,Tăng,32,Thấp,Khu vực C,Buổi sáng,Cao,CD38
KH777,SP002,27/1/2022,155,Giảm,190,Cao,Khu vực A,Buổi chiều,Thấp,CD40
KH778,SP004,11/1/2022,108,Giảm,246,Thấp,Khu vực B,Buổi tối,Cao,CD20
KH779,SP001,25/1/2022,196,Giảm,36,Thấp,Khu vực B,Buổi tối,Thấp,CD43
KH780,SP002,17/1/2022,51,Giảm,248,Cao,Khu vực B,Buổi sáng,Thấp,CD5
KH781,SP004,21/1/2022,491,Tăng,239,Trung bình,Khu vực C,Buổi tối,Thấp,CD41
KH782,SP003,5/1/2022,215,Tăng,108,Trung bình,Khu vực A,Buổi tối,Cao,CD21
KH783,SP005,1/1/2022,424,Tăng,149,Trung bình,Khu vực C,Buổi sáng,Thấp,CD39
KH784,SP005,11/1/2022,397,Tăng,212,Thấp,Khu vực A,Buổi chiều,Thấp,CD42
KH785,SP002,26/1/2022,345,Tăng,133,Trung bình,Khu vực A,Buổi sáng,Thấp,CD24
KH786,SP002,11/1/2022,261,Tăng,229,Trung bình,Khu vực A,Buổi sáng,Cao,CD15
KH787,SP005,3/1/2022,123,Giảm,72,Cao,Khu vực A,Buổi chiều,Cao,CD14
KH788,SP005,29/1/2022,179,Giảm,176,Thấp,Khu vực C,Buổi chiều,Thấp,CD32
KH789,SP005,4/1/2022,81,Giảm,143,Thấp,Khu vực B,Buổi chiều,Cao,CD1
KH790,SP004,23/1/2022,145,Giảm,69,Thấp,Khu vực A,Buổi chiều,Thấp,CD29
KH791,SP001,17/1/2022,323,Tăng,195,Thấp,Khu vực B,Buổi chiều,Thấp,CD37
KH792,SP004,1/1/2022,384,Tăng,187,Thấp,Khu vực C,Buổi chiều,Cao,CD9
KH793,SP001,21/1/2022,431,Tăng,160,Cao,Khu vực C,Buổi tối,Thấp,CD23
KH794,SP002,3/1/2022,266,Tăng,130,Trung bình,Khu vực C,Buổi chiều,Thấp,CD31
KH795,SP003,4/1/2022,490,Tăng,120,Thấp,Khu vực A,Buổi sáng,Thấp,CD10
KH796,SP003,21/1/2022,190,Giảm,176,Cao,Khu vực A,Buổi chiều,Cao,CD45
KH797,SP002,9/1/2022,243,Tăng,47,Thấp,Khu vực A,Buổi tối,Cao,CD49
KH798,SP004,4/1/2022,407,Tăng,103,Cao,Khu vực B,Buổi chiều,Cao,CD17
KH799,SP005,15/1/2022,307,Tăng,163,Cao,Khu vực B,Buổi chiều,Cao,CD22
KH800,SP003,11/1/2022,140,Giảm,270,Cao,Khu vực B,Buổi tối,Thấp,CD8
KH801,SP001,21/1/2022,445,Tăng,171,Trung bình,Khu vực B,Buổi tối,Cao,CD31
KH802,SP001,1/1/2022,74,Giảm,69,Cao,Khu vực A,Buổi tối,Cao,CD50
KH803,SP004,11/1/2022,289,Tăng,76,Thấp,Khu vực C,Buổi chiều,Cao,CD49
KH804,SP004,3/1/2022,444,Tăng,82,Trung bình,Khu vực A,Buổi chiều,Thấp,CD1
KH805,SP001,13/1/2022,494,Tăng,177,Trung bình,Khu vực B,Buổi sáng,Cao,CD22
KH806,SP003,7/1/2022,357,Tăng,30,Trung bình,Khu vực A,Buổi sáng,Thấp,CD48
KH807,SP002,11/1/2022,382,Tăng,42,Trung bình,Khu vực A,Buổi sáng,Thấp,CD38
KH808,SP005,19/1/2022,183,Giảm,48,Trung bình,Khu vực C,Buổi tối,Thấp,CD21
KH809,SP002,13/1/2022,457,Tăng,256,Trung bình,Khu vực B,Buổi chiều,Thấp,CD9
KH810,SP003,24/1/2022,105,Giảm,52,Trung bình,Khu vực C,Buổi chiều,Cao,CD2
KH811,SP001,11/1/2022,303,Tăng,205,Thấp,Khu vực B,Buổi tối,Thấp,CD25
KH812,SP005,19/1/2022,327,Tăng,154,Cao,Khu vực C,Buổi tối,Cao,CD10
KH813,SP001,19/1/2022,93,Giảm,279,Cao,Khu vực C,Buổi tối,Thấp,CD32
KH814,SP005,31/1/2022,163,Giảm,214,Cao,Khu vực C,Buổi chiều,Cao,CD27
KH815,SP002,26/1/2022,343,Tăng,261,Thấp,Khu vực C,Buổi sáng,Thấp,CD43
KH816,SP005,16/1/2022,406,Tăng,230,Cao,Khu vực B,Buổi tối,Thấp,CD7
KH817,SP005,4/1/2022,134,Giảm,139,Trung bình,Khu vực A,Buổi sáng,Thấp,CD45
KH818,SP004,15/1/2022,270,Tăng,144,Trung bình,Khu vực A,Buổi sáng,Cao,CD12
KH819,SP004,26/1/2022,470,Tăng,253,Cao,Khu vực B,Buổi sáng,Thấp,CD5
KH820,SP002,13/1/2022,287,Tăng,291,Thấp,Khu vực A,Buổi sáng,Cao,CD24
KH821,SP005,4/1/2022,281,Tăng,130,Thấp,Khu vực B,Buổi chiều,Cao,CD26
KH822,SP003,5/1/2022,272,Tăng,44,Cao,Khu vực A,Buổi sáng,Cao,CD37
KH823,SP005,6/1/2022,214,Tăng,292,Thấp,Khu vực C,Buổi tối,Cao,CD45
KH824,SP005,28/1/2022,374,Tăng,30,Cao,Khu vực A,Buổi tối,Cao,CD23
KH825,SP001,25/1/2022,76,Giảm,141,Cao,Khu vực C,Buổi tối,Thấp,CD44
KH826,SP002,18/1/2022,238,Tăng,226,Cao,Khu vực B,Buổi tối,Thấp,CD11
KH827,SP002,29/1/2022,420,Tăng,172,Trung bình,Khu vực A,Buổi chiều,Cao,CD34
KH828,SP004,29/1/2022,432,Tăng,249,Cao,Khu vực A,Buổi sáng,Cao,CD47
KH829,SP005,9/1/2022,302,Tăng,77,Thấp,Khu vực B,Buổi tối,Cao,CD16
KH830,SP002,5/1/2022,324,Tăng,69,Trung bình,Khu vực C,Buổi tối,Thấp,CD33
KH831,SP003,1/1/2022,206,Tăng,230,Thấp,Khu vực C,Buổi tối,Cao,CD16
KH832,SP004,19/1/2022,311,Tăng,204,Thấp,Khu vực C,Buổi sáng,Cao,CD11
KH833,SP002,31/1/2022,372,Tăng,82,Thấp,Khu vực C,Buổi chiều,Cao,CD3
KH834,SP003,14/1/2022,405,Tăng,223,Cao,Khu vực C,Buổi tối,Thấp,CD49
KH835,SP001,18/1/2022,284,Tăng,123,Cao,Khu vực C,Buổi chiều,Cao,CD37
KH836,SP001,1/1/2022,416,Tăng,130,Thấp,Khu vực C,Buổi chiều,Cao,CD4
KH837,SP001,15/1/2022,219,Tăng,90,Cao,Khu vực B,Buổi sáng,Cao,CD30
KH838,SP003,18/1/2022,60,Giảm,242,Thấp,Khu vực B,Buổi tối,Cao,CD46
KH839,SP001,9/1/2022,99,Giảm,259,Thấp,Khu vực A,Buổi chiều,Thấp,CD20
KH840,SP005,21/1/2022,282,Tăng,112,Trung bình,Khu vực B,Buổi tối,Thấp,CD7
KH841,SP003,11/1/2022,163,Giảm,52,Thấp,Khu vực C,Buổi tối,Thấp,CD16
KH842,SP003,16/1/2022,187,Giảm,65,Cao,Khu vực B,Buổi chiều,Thấp,CD37
KH843,SP001,16/1/2022,425,Tăng,224,Thấp,Khu vực B,Buổi tối,Thấp,CD40
KH844,SP001,21/1/2022,250,Tăng,253,Trung bình,Khu vực B,Buổi sáng,Cao,CD34
KH845,SP003,5/1/2022,112,Giảm,248,Cao,Khu vực B,Buổi tối,Thấp,CD46
KH846,SP002,11/1/2022,419,Tăng,186,Cao,Khu vực A,Buổi sáng,Cao,CD39
KH847,SP005,27/1/2022,197,Giảm,249,Trung bình,Khu vực A,Buổi tối,Cao,CD38
KH848,SP004,21/1/2022,95,Giảm,180,Trung bình,Khu vực C,Buổi chiều,Thấp,CD49
KH849,SP003,14/1/2022,442,Tăng,208,Thấp,Khu vực A,Buổi tối,Thấp,CD20
KH850,SP003,13/1/2022,469,Tăng,224,Thấp,Khu vực C,Buổi tối,Cao,CD6
KH851,SP005,14/1/2022,72,Giảm,129,Cao,Khu vực A,Buổi tối,Cao,CD18
KH852,SP004,18/1/2022,98,Giảm,176,Cao,Khu vực A,Buổi tối,Cao,CD12
KH853,SP002,16/1/2022,484,Tăng,188,Thấp,Khu vực A,Buổi tối,Cao,CD2
KH854,SP002,21/1/2022,135,Giảm,53,Trung bình,Khu vực B,Buổi tối,Thấp,CD15
KH855,SP001,1/1/2022,248,Tăng,236,Cao,Khu vực A,Buổi chiều,Thấp,CD30
KH856,SP003,8/1/2022,136,Giảm,273,Thấp,Khu vực C,Buổi sáng,Cao,CD23
KH857,SP004,7/1/2022,422,Tăng,78,Thấp,Khu vực A,Buổi chiều,Cao,CD14
KH858,SP001,28/1/2022,95,Giảm,195,Trung bình,Khu vực A,Buổi chiều,Thấp,CD6
KH859,SP003,25/1/2022,96,Giảm,47,Thấp,Khu vực C,Buổi sáng,Thấp,CD36
KH860,SP001,7/1/2022,459,Tăng,264,Trung bình,Khu vực C,Buổi chiều,Cao,CD32
KH861,SP001,9/1/2022,107,Giảm,89,Trung bình,Khu vực A,Buổi tối,Thấp,CD1
KH862,SP005,11/1/2022,474,Tăng,224,Cao,Khu vực C,Buổi tối,Cao,CD11
KH863,SP002,7/1/2022,152,Giảm,30,Trung bình,Khu vực A,Buổi chiều,Thấp,CD18
KH864,SP002,24/1/2022,285,Tăng,220,Cao,Khu vực B,Buổi chiều,Cao,CD30
KH865,SP004,11/1/2022,219,Tăng,184,Thấp,Khu vực C,Buổi tối,Cao,CD20
KH866,SP003,18/1/2022,242,Tăng,80,Trung bình,Khu vực C,Buổi sáng,Thấp,CD39
KH867,SP004,11/1/2022,165,Giảm,206,Trung bình,Khu vực A,Buổi sáng,Cao,CD44
KH868,SP001,7/1/2022,381,Tăng,148,Thấp,Khu vực A,Buổi chiều,Cao,CD34
KH869,SP004,4/1/2022,226,Tăng,169,Thấp,Khu vực C,Buổi sáng,Cao,CD47
KH870,SP003,8/1/2022,340,Tăng,91,Thấp,Khu vực B,Buổi tối,Thấp,CD21
KH871,SP005,25/1/2022,424,Tăng,273,Trung bình,Khu vực C,Buổi chiều,Thấp,CD18
KH872,SP005,11/1/2022,222,Tăng,236,Trung bình,Khu vực C,Buổi chiều,Thấp,CD12
KH873,SP001,13/1/2022,105,Giảm,40,Trung bình,Khu vực B,Buổi sáng,Thấp,CD32
KH874,SP001,13/1/2022,95,Giảm,142,Trung bình,Khu vực A,Buổi tối,Cao,CD40
KH875,SP005,13/1/2022,407,Tăng,183,Cao,Khu vực C,Buổi sáng,Cao,CD24
KH876,SP005,8/1/2022,485,Tăng,84,Cao,Khu vực C,Buổi sáng,Thấp,CD12
KH877,SP003,7/1/2022,323,Tăng,180,Thấp,Khu vực C,Buổi tối,Cao,CD50
KH878,SP005,19/1/2022,230,Tăng,81,Cao,Khu vực B,Buổi tối,Thấp,CD42
KH879,SP003,25/1/2022,95,Giảm,256,Thấp,Khu vực A,Buổi chiều,Cao,CD12
KH880,SP001,31/1/2022,364,Tăng,181,Thấp,Khu vực C,Buổi tối,Cao,CD41
KH881,SP004,23/1/2022,395,Tăng,105,Thấp,Khu vực C,Buổi chiều,Cao,CD24
KH882,SP001,28/1/2022,410,Tăng,151,Cao,Khu vực C,Buổi sáng,Thấp,CD14
KH883,SP004,31/1/2022,229,Tăng,36,Cao,Khu vực A,Buổi sáng,Thấp,CD17
KH884,SP004,11/1/2022,219,Tăng,169,Trung bình,Khu vực C,Buổi sáng,Thấp,CD36
KH885,SP002,3/1/2022,209,Tăng,293,Trung bình,Khu vực A,Buổi chiều,Cao,CD1
KH886,SP001,13/1/2022,133,Giảm,132,Trung bình,Khu vực C,Buổi sáng,Thấp,CD33
KH887,SP001,19/1/2022,343,Tăng,54,Cao,Khu vực B,Buổi tối,Cao,CD38
KH888,SP001,24/1/2022,269,Tăng,206,Thấp,Khu vực B,Buổi sáng,Cao,CD18
KH889,SP001,11/1/2022,310,Tăng,216,Trung bình,Khu vực B,Buổi tối,Thấp,CD24
KH890,SP003,7/1/2022,65,Giảm,117,Trung bình,Khu vực C,Buổi tối,Cao,CD31
KH891,SP004,11/1/2022,315,Tăng,246,Trung bình,Khu vực A,Buổi sáng,Cao,CD37
KH892,SP004,31/1/2022,193,Giảm,45,Trung bình,Khu vực A,Buổi tối,Cao,CD47
KH893,SP002,21/1/2022,193,Giảm,130,Cao,Khu vực C,Buổi sáng,Cao,CD26
KH894,SP001,15/1/2022,151,Giảm,294,Thấp,Khu vực A,Buổi tối,Thấp,CD36
KH895,SP003,29/1/2022,312,Tăng,261,Cao,Khu vực A,Buổi sáng,Thấp,CD29
KH896,SP001,21/1/2022,235,Tăng,65,Cao,Khu vực C,Buổi sáng,Thấp,CD29
KH897,SP003,25/1/2022,467,Tăng,175,Thấp,Khu vực B,Buổi chiều,Thấp,CD17
KH898,SP002,16/1/2022,480,Tăng,124,Trung bình,Khu vực B,Buổi chiều,Thấp,CD8
KH899,SP004,26/1/2022,325,Tăng,253,Trung bình,Khu vực C,Buổi sáng,Cao,CD29
KH900,SP002,17/1/2022,245,Tăng,88,Cao,Khu vực B,Buổi sáng,Cao,CD24
KH901,SP001,11/1/2022,290,Tăng,289,Cao,Khu vực A,Buổi sáng,Cao,CD29
KH902,SP002,5/1/2022,457,Tăng,102,Thấp,Khu vực B,Buổi tối,Cao,CD2
KH903,SP001,27/1/2022,163,Giảm,45,Trung bình,Khu vực A,Buổi sáng,Cao,CD23
KH904,SP001,17/1/2022,297,Tăng,35,Cao,Khu vực A,Buổi sáng,Cao,CD4
KH905,SP003,24/1/2022,366,Tăng,179,Cao,Khu vực A,Buổi tối,Cao,CD44
